App,HTTP Method,Resource URL,Notes
routiens,GET,/readiness,get all ReadinessQuestions
routines,POST,/readiness,create Readiness + associated ReadinessItems + Workout
routines,GET,/workouts/<id>/exercises,get Exercises for specified Workout
routines,POST,/workouts/<id>/exercises,create WorkoutExercise for specified Workout
routines,PUT/PATCH,/workoutexercises/<id>,update WorkoutExercise
routines,DELETE,/workoutexercises/<id>,delete WorkoutExercise
routines,GET,/workoutexercises/<id>/sets,get Sets for specified WorkoutExercise
routines,POST,/workoutexercises/<id>/sets,create Set for specified WorkoutExercise
routines,PUT/PATCH,/workoutexercisesets/<id>,update Set
routines,DELETE,/workoutexercisesets/<id>,delete Set
exercises,GET,/exercises,get all Exercises
exercises,POST,/exercises,create Exercise
exercises,GET,/exercises/<id>,get Exercise
exercises,PUT/PATCH,/exercises/<id>,update Exercise
exercises,DELETE,/exercises/<id>,delete Exercise
accounts,POST,/rest-auth/login,login
accounts,POST,/rest-auth/logout,logout
accounts,POST,/rest-auth/registration,register new User
accounts,GET,/user/<id>,get User
accounts,PUT/PATCH,/user/<id>,update User
