model,id,rir,reps,percent
exercises.rir,1,0,1,1
exercises.rir,2,0,2,0.955
exercises.rir,3,0,3,0.922
exercises.rir,4,0,4,0.892
exercises.rir,5,0,5,0.863
exercises.rir,6,0,6,0.837
exercises.rir,7,0,7,0.811
exercises.rir,8,0,8,0.786
exercises.rir,9,0,9,0.762
exercises.rir,10,0,10,0.739
exercises.rir,11,0,11,0.707
exercises.rir,12,0,12,0.68
exercises.rir,13,0,13,0.653
exercises.rir,14,0,14,0.626
exercises.rir,15,0,15,0.599
exercises.rir,16,0,16,0.584
exercises.rir,17,0,17,0.57
exercises.rir,18,0,18,0.557
exercises.rir,19,0,19,0.544
exercises.rir,20,0,20,0.532
exercises.rir,21,0,21,0.52
exercises.rir,22,0,22,0.509
exercises.rir,23,0,23,0.498
exercises.rir,24,0,24,0.488
exercises.rir,25,0,25,0.477
exercises.rir,26,0,26,0.468
exercises.rir,27,0,27,0.458
exercises.rir,28,0,28,0.449
exercises.rir,29,0,29,0.44
exercises.rir,30,0,30,0.432
exercises.rir,31,1,1,0.955
exercises.rir,32,1,2,0.922
exercises.rir,33,1,3,0.892
exercises.rir,34,1,4,0.863
exercises.rir,35,1,5,0.837
exercises.rir,36,1,6,0.811
exercises.rir,37,1,7,0.786
exercises.rir,38,1,8,0.762
exercises.rir,39,1,9,0.739
exercises.rir,40,1,10,0.707
exercises.rir,41,1,11,0.68
exercises.rir,42,1,12,0.653
exercises.rir,43,1,13,0.626
exercises.rir,44,1,14,0.599
exercises.rir,45,1,15,0.584
exercises.rir,46,1,16,0.57
exercises.rir,47,1,17,0.557
exercises.rir,48,1,18,0.544
exercises.rir,49,1,19,0.532
exercises.rir,50,1,20,0.52
exercises.rir,51,1,21,0.509
exercises.rir,52,1,22,0.498
exercises.rir,53,1,23,0.488
exercises.rir,54,1,24,0.477
exercises.rir,55,1,25,0.468
exercises.rir,56,1,26,0.458
exercises.rir,57,1,27,0.449
exercises.rir,58,1,28,0.44
exercises.rir,59,1,29,0.432
exercises.rir,60,2,1,0.922
exercises.rir,61,2,2,0.892
exercises.rir,62,2,3,0.863
exercises.rir,63,2,4,0.837
exercises.rir,64,2,5,0.811
exercises.rir,65,2,6,0.786
exercises.rir,66,2,7,0.762
exercises.rir,67,2,8,0.739
exercises.rir,68,2,9,0.707
exercises.rir,69,2,10,0.68
exercises.rir,70,2,11,0.653
exercises.rir,71,2,12,0.626
exercises.rir,72,2,13,0.599
exercises.rir,73,2,14,0.584
exercises.rir,74,2,15,0.57
exercises.rir,75,2,16,0.557
exercises.rir,76,2,17,0.544
exercises.rir,77,2,18,0.532
exercises.rir,78,2,19,0.52
exercises.rir,79,2,20,0.509
exercises.rir,80,2,21,0.498
exercises.rir,81,2,22,0.488
exercises.rir,82,2,23,0.477
exercises.rir,83,2,24,0.468
exercises.rir,84,2,25,0.458
exercises.rir,85,2,26,0.449
exercises.rir,86,2,27,0.44
exercises.rir,87,2,28,0.432
exercises.rir,88,3,1,0.892
exercises.rir,89,3,2,0.863
exercises.rir,90,3,3,0.837
exercises.rir,91,3,4,0.811
exercises.rir,92,3,5,0.786
exercises.rir,93,3,6,0.762
exercises.rir,94,3,7,0.739
exercises.rir,95,3,8,0.707
exercises.rir,96,3,9,0.68
exercises.rir,97,3,10,0.653
exercises.rir,98,3,11,0.626
exercises.rir,99,3,12,0.599
exercises.rir,100,3,13,0.584
exercises.rir,101,3,14,0.57
exercises.rir,102,3,15,0.557
exercises.rir,103,3,16,0.544
exercises.rir,104,3,17,0.532
exercises.rir,105,3,18,0.52
exercises.rir,106,3,19,0.509
exercises.rir,107,3,20,0.498
exercises.rir,108,3,21,0.488
exercises.rir,109,3,22,0.477
exercises.rir,110,3,23,0.468
exercises.rir,111,3,24,0.458
exercises.rir,112,3,25,0.449
exercises.rir,113,3,26,0.44
exercises.rir,114,3,27,0.432
exercises.rir,115,4,1,0.863
exercises.rir,116,4,2,0.837
exercises.rir,117,4,3,0.811
exercises.rir,118,4,4,0.786
